high_conf_pos_pct,stop_loss_pct,take_profit_1_pct,time_stop_days,n_days,n_trades,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,max_drawdown_pct,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,pl_ratio,total_pnl,composite
0.15,-0.035,0.07,2,9,42,-14.31,-98.68,39.89,-11.91,-16.02,-6.16,26.19,5.76,-8.38,0.69,-154337.94,-5.61
0.15,-0.035,0.07,3,9,34,-16.21,-99.29,46.95,-11.53,-17.93,-5.54,23.53,6.84,-9.76,0.7,-173292.76,-5.415
0.15,-0.035,0.07,4,9,34,-16.21,-99.29,46.95,-11.53,-17.93,-5.54,23.53,6.84,-9.76,0.7,-173292.76,-5.415
0.15,-0.035,0.1,2,9,43,-14.09,-98.58,40.56,-11.51,-15.7,-6.28,25.58,6.55,-8.22,0.8,-152108.46,-5.3549999999999995
0.15,-0.035,0.1,3,9,32,-16.31,-99.32,49.26,-11.04,-17.99,-5.52,15.62,8.64,-9.51,0.91,-174331.58,-5.0649999999999995
0.15,-0.035,0.1,4,9,32,-16.31,-99.32,49.26,-11.04,-17.99,-5.52,15.62,8.64,-9.51,0.91,-174331.58,-5.0649999999999995
0.15,-0.05,0.05,2,9,39,-3.99,-67.99,30.92,-4.0,-6.84,-9.94,38.46,4.5,-9.38,0.48,-52727.79,-1.76
0.15,-0.05,0.05,3,9,30,-5.44,-79.12,39.25,-4.3,-8.47,-9.35,40.0,5.0,-11.65,0.43,-67341.23,-1.9349999999999998
0.15,-0.05,0.05,4,9,30,-5.44,-79.12,39.25,-4.3,-8.47,-9.35,40.0,5.0,-11.65,0.43,-67341.23,-1.9349999999999998
0.15,-0.05,0.07,2,9,39,-3.9,-67.13,31.29,-3.85,-6.87,-9.76,35.9,5.76,-9.05,0.64,-51781.52,-1.605
0.15,-0.05,0.07,3,9,29,-5.16,-77.29,39.45,-4.04,-8.17,-9.46,37.93,6.64,-11.65,0.57,-64607.88,-1.735
0.15,-0.05,0.07,4,9,29,-5.16,-77.29,39.45,-4.04,-8.17,-9.46,37.93,6.64,-11.65,0.57,-64607.88,-1.735
0.15,-0.05,0.1,2,9,44,-2.93,-56.57,29.1,-3.09,-5.85,-9.68,38.64,6.28,-8.65,0.73,-42294.81,-1.18
0.15,-0.05,0.1,3,9,32,-4.91,-75.61,38.28,-3.96,-7.88,-9.6,37.5,7.36,-10.85,0.68,-62219.03,-1.64
0.15,-0.05,0.1,4,9,32,-4.91,-75.61,38.28,-3.96,-7.88,-9.6,37.5,7.36,-10.85,0.68,-62219.03,-1.64
