thresh,days,sl_pct,n,wr,avg_ret,pl,ann_serial,ann_3x,composite,avg_win,avg_loss
0.0,3,0.0,50,16.0,2.0996499497413446,92.73541457255855,40.2248727213605,120.6746181640815,1483.7666331609369,13.910312185883381,-0.14999999999999566
0.0,3,-0.05,50,40.0,1.459725798682272,2.47199674111187,27.96527319580774,83.89581958742322,98.8798696444748,9.280991552327105,-3.754451370414284
0.0,3,-0.02,50,26.0,1.4135040348655807,5.3783168551208895,27.079761510056393,81.23928453016919,139.83623823314312,11.547246287944528,-2.146999999999996
0.0,4,0.0,50,14.000000000000002,1.3518758947410685,70.51789974957669,25.89909608872363,77.69728826617089,987.2505964940738,10.577684962436175,-0.14999999999999536
0.0,3,-0.03,50,32.0,1.2641278896795773,3.4377718182500856,24.218029044387695,72.65408713316309,110.00869818400274,10.344960500250195,-3.009205103530125
0.0,3,-0.04,50,36.0,1.1315191972528837,2.6556314698765333,21.677525673686826,65.03257702106048,95.6027329155552,9.508348524868076,-3.580447299530662
0.3,3,0.0,27,18.51851851851852,1.980864396821197,75.71111828556445,20.49256346521971,61.47769039565913,1402.0577460289715,11.35666774283445,-0.1499999999999971
0.0,5,0.0,50,14.000000000000002,1.0675887600710703,56.98041714624303,20.452753087677348,61.35825926303204,797.7258400474025,8.54706257193619,-0.14999999999999536
0.0,3,-0.07,50,40.0,0.9932600704882938,2.047927652066593,19.028771876723102,57.08631563016931,81.91710608266374,9.280991552327105,-4.53189425073758
0.3,3,-0.02,27,29.629629629629626,1.5775451250200392,4.854839216088793,16.32011946178626,48.960358385358774,143.84708788411237,10.423339796942628,-2.1469999999999976
0.3,4,0.0,27,14.814814814814813,1.4790982726883084,72.3094222709754,15.301660867348101,45.9049826020443,1071.2507003107467,10.846413340646059,-0.14999999999999653
0.3,5,0.0,27,14.814814814814813,1.2882746854698435,63.72236084614428,13.3275406408396,39.9826219225188,944.0349754984336,9.55835412692142,-0.14999999999999653
0.3,3,-0.05,27,44.44444444444444,1.2827753705267977,1.9061523766125115,13.270648780565649,39.811946341696945,84.7178834050005,8.38467125742909,-4.398741338995037
0.0,4,-0.02,50,24.0,0.5772505529521611,4.308223206784505,11.058905330241402,33.176715990724205,103.39735696282813,9.077241398620552,-2.1069570825220687
0.3,3,-0.03,27,33.33333333333333,1.0688618723987724,3.0194200022878146,11.057657349405407,33.172972048216224,100.6473334095938,9.497585617196314,-3.145499999999998
0.3,4,-0.02,27,25.925925925925924,0.8368878871716741,4.4158696750177135,8.657825426445488,25.973476279336463,114.48551009305183,9.144906012781986,-2.0709184567919348
0.3,5,-0.02,27,22.22222222222222,0.782186367242499,5.196682782003774,8.091923807641349,24.275771422924045,115.48183960008386,10.78073350856436,-2.07454138742089
0.0,5,-0.02,50,22.0,0.3985490727588399,4.404847617515386,7.635361183379881,22.90608355013964,96.90664758533849,9.285347524889142,-2.1079838239958613
0.3,3,-0.04,27,37.03703703703704,0.7170238942261018,2.1927825700545434,7.4178008762675045,22.25340262880251,81.21416926127938,8.614649749023238,-3.9286383733016255
0.3,4,-0.05,27,37.03703703703704,0.48747858803059324,1.9834262499088902,5.0430942770154426,15.129282831046329,73.46023147810705,9.210756363653228,-4.643861279982722
0.3,3,-0.07,27,44.44444444444444,0.4691827779342034,1.4300484051278033,4.853819306881422,14.561457920644266,63.55770689456903,8.38467125742909,-5.863208005661706
0.0,4,-0.05,50,36.0,0.1719637342347898,1.8867983996428437,3.2944631190243947,9.883389357073185,67.92474238714237,8.267062307420609,-4.381529213182235
0.5,5,-0.02,9,33.33333333333333,0.9141343839710205,3.448405303976378,3.1523202546200673,9.456960763860202,114.94684346587925,6.529192863859305,-1.8933948559731222
0.0,4,-0.03,50,28.000000000000004,0.14911259290034878,2.7489210695847306,2.8566833587224716,8.570050076167416,76.96978994837247,8.247808310257005,-3.000380186071683
0.3,5,-0.05,27,33.33333333333333,0.21778113880517266,2.1427799301340937,2.253003191765513,6.759009575296538,71.42599767113644,9.805097669298545,-4.575877126441514
0.3,4,-0.03,27,25.925925925925924,0.1352717323730208,3.0300206114751185,1.3994216692232087,4.198265007669626,78.55608992713269,9.144906012781986,-3.0181002657701166
0.5,5,-0.03,9,33.33333333333333,0.35941216174879564,2.3956136906458827,1.2394044651463734,3.71821339543912,79.85378968819607,6.529192863859305,-2.7254781893064592
0.5,3,0.0,9,22.22222222222222,0.28936587579936457,12.180976273981159,0.9978553780197037,2.993566134059111,270.68836164402575,1.8271464410971272,-0.14999999999999616
0.5,5,0.0,9,22.22222222222222,0.2733458791212895,11.700376373638894,0.9426116842119415,2.8278350526358245,260.0083638586421,1.7550564560457893,-0.14999999999999616
0.5,4,0.0,9,22.22222222222222,0.15777304594373456,8.233191378312158,0.5440678931701837,1.632203679510551,182.95980840693684,1.234978706746792,-0.14999999999999616
0.3,5,-0.03,27,22.22222222222222,0.042556737612869544,3.563297211602218,0.4402606497466125,1.3207819492398376,79.18438248004928,10.78073350856436,-3.0254937683732703
0.0,5,-0.03,50,26.0,-0.003242073986781815,2.8420080231390203,-0.06211131216782004,-0.1863339365034601,73.89220860161453,8.547992158977305,-3.007729777460649
0.0,5,-0.05,50,34.0,-0.018422231181598824,1.9285938529293836,-0.35293116579484063,-1.0587934973845219,65.57219099959904,8.304874787762055,-4.306181301546512
0.5,3,-0.02,9,44.44444444444444,-0.1867489975570439,1.0542919215168378,-0.6439891747335537,-1.9319675242006609,46.857418734081676,2.26356475549665,-2.146999999999999
0.5,5,-0.04,9,33.33333333333333,-0.195310060473424,1.8353000566001458,-0.6735113243273022,-2.0205339729819065,61.17666855333819,6.529192863859305,-3.5575615226397885
0.5,5,-0.07,9,33.33333333333333,-0.3587067527584405,1.7170082964386135,-1.2369719179333172,-3.7109157537999513,57.23360988128711,6.529192863859305,-3.8026565610673138
0.5,4,-0.02,9,33.33333333333333,-0.491188067867496,1.221734336631468,-1.6938232740357022,-5.081469822107106,40.724477887715594,2.313225508343756,-1.8933948559731222
0.5,5,-0.05,9,33.33333333333333,-0.6567954455978106,1.536356732426915,-2.264907241872029,-6.794721725616087,51.21189108089716,6.529192863859305,-4.249789600326369
0.5,3,-0.03,9,44.44444444444444,-0.7414712197792686,0.7196200144640431,-2.5569049642072463,-7.670714892621739,31.98311175395747,2.26356475549665,-3.1455000000000033
0.5,3,-0.05,9,44.44444444444444,-0.8545552294093448,0.6758823943273276,-2.946866243731594,-8.840598731194781,30.039217525659,2.26356475549665,-3.3490512173341402
0.5,3,-0.04,9,44.44444444444444,-0.8893992582378935,0.66345751448235,-3.0670231263024625,-9.201069378907388,29.48700064366,2.26356475549665,-3.411770469225528
0.0,4,-0.04,50,32.0,-0.16470797225371553,1.9901742651703374,-3.155457994755392,-9.466373984266177,63.685576485450795,7.597714191532823,-3.8176125199179687
0.3,4,-0.04,27,29.629629629629626,-0.3234970218397149,2.0931422710259144,-3.3466618217270714,-10.039985465181214,62.01903025261968,8.107983645935807,-3.8735941451136195
0.5,4,-0.04,9,44.44444444444444,-1.0457961703105445,0.566030786672612,-3.6063455304603624,-10.819036591381087,25.156923852116087,1.9473009007609565,-3.4402738271677458
0.5,4,-0.03,9,33.33333333333333,-1.0459102900897206,0.8487411557427993,-3.6067390635093943,-10.820217190528183,28.291371858093306,2.313225508343756,-2.7254781893064592
0.3,4,-0.07,27,37.03703703703704,-0.3520661147147336,1.5409674037243282,-3.6422166057014755,-10.926649817104426,57.07286680460475,9.210756363653228,-5.977255807872358
0.5,3,-0.07,9,44.44444444444444,-1.298333007187123,0.5457198527365362,-4.477198875310544,-13.43159662593163,24.25421567717939,2.26356475549665,-4.147851217334141
0.5,4,-0.05,9,44.44444444444444,-1.4513909483713745,0.46694006563039364,-5.005007101962762,-15.015021305888286,20.752891805795272,1.9473009007609565,-4.1703444276772395
0.3,5,-0.07,27,33.33333333333333,-0.4964485561742982,1.7362693097878392,-5.135890957980003,-15.407672873940008,57.87564365959463,9.805097669298545,-5.64722166891072
0.3,5,-0.04,27,22.22222222222222,-0.5546858799422808,2.841988320249363,-5.7383713979713,-17.2151141939139,63.1552960055414,10.78073350856436,-3.793377133801321
0.5,4,-0.07,9,44.44444444444444,-1.7511361677184638,0.41344970433412864,-6.038654826784935,-18.115964480354805,18.375542414850162,1.9473009007609565,-4.709885822502001
0.0,5,-0.04,50,28.000000000000004,-0.35431916912891603,2.234822888565412,-6.788009345417128,-20.364028036251383,62.57504087983154,8.401528101403871,-3.7593708854472223
0.0,4,-0.07,50,36.0,-0.3698625637854133,1.5812647875643955,-7.085788064099497,-21.257364192298493,56.925532352318235,8.267062307420609,-5.228132803838801
0.0,5,-0.07,50,34.0,-0.47908858342292554,1.6595939685439234,-9.178328650839205,-27.534985952517616,56.426194930493395,8.304874787762055,-5.004160623124279
